iter	Passed	Remaining
209	673	2534
210	676	2530
211	679	2526
212	682	2522
213	686	2519
214	689	2517
215	692	2513
216	695	2509
217	698	2505
218	701	2501
219	705	2499
220	708	2496
221	711	2492
222	714	2489
223	717	2485
224	720	2482
225	723	2478
226	726	2474
227	729	2470
228	732	2465
229	735	2463
230	739	2460
231	742	2456
232	745	2452
233	748	2449
234	751	2446
235	754	2442
236	757	2439
237	760	2435
238	763	2432
239	766	2428
240	770	2425
241	772	2421
242	775	2416
243	778	2413
244	781	2409
245	785	2407
246	788	2404
247	791	2400
248	794	2397
249	797	2393
250	801	2390
251	804	2386
252	806	2382
253	810	2379
254	813	2375
255	815	2370
256	819	2368
257	822	2364
258	825	2360
259	828	2358
260	831	2354
261	834	2351
262	838	2348
263	841	2345
264	844	2342
265	847	2338
266	850	2335
267	853	2332
268	857	2329
269	860	2325
270	863	2321
271	866	2319
272	869	2316
273	873	2314
274	876	2311
275	879	2307
276	883	2305
277	886	2302
278	890	2300
279	893	2297
280	896	2293
281	900	2292
282	904	2290
283	907	2287
284	910	2283
285	913	2280
286	917	2278
287	920	2275
288	923	2271
289	926	2268
290	929	2265
291	933	2263
292	937	2261
293	940	2258
294	943	2255
295	947	2253
296	950	2250
297	953	2247
298	956	2243
299	959	2239
300	963	2236
301	966	2233
302	969	2230
303	972	2227
304	975	2223
305	979	2221
306	983	2219
307	986	2216
308	989	2213
309	993	2211
310	996	2208
311	1000	2205
312	1003	2201
313	1006	2197
314	1009	2194
315	1012	2190
316	1015	2188
317	1018	2184
318	1021	2181
319	1025	2178
320	1028	2174
321	1031	2171
322	1034	2168
323	1037	2164
324	1040	2161
325	1044	2158
326	1048	2157
327	1051	2154
328	1055	2152
329	1058	2148
330	1061	2144
331	1064	2142
332	1067	2138
333	1070	2134
334	1073	2131
335	1077	2128
336	1081	2127
337	1085	2125
338	1088	2123
339	1091	2119
340	1095	2116
341	1098	2112
342	1101	2109
343	1104	2106
344	1107	2102
345	1110	2099
346	1113	2096
347	1117	2093
348	1120	2089
349	1123	2086
350	1126	2082
351	1129	2079
352	1132	2076
353	1135	2072
354	1138	2068
355	1141	2065
356	1144	2061
357	1148	2059
358	1151	2055
359	1154	2051
360	1157	2048
361	1161	2046
362	1164	2043
363	1167	2039
364	1170	2036
365	1173	2032
366	1176	2029
367	1179	2025
368	1182	2022
369	1185	2018
370	1188	2015
371	1192	2012
372	1195	2009
373	1198	2005
374	1200	2001
375	1203	1997
376	1206	1994
377	1210	1992
378	1214	1989
379	1217	1986
380	1220	1983
381	1223	1979
382	1227	1977
383	1230	1973
384	1233	1970
385	1236	1966
386	1239	1963
387	1242	1959
388	1245	1956
389	1248	1952
390	1251	1949
391	1254	1945
392	1257	1942
393	1260	1939
394	1264	1936
395	1267	1933
396	1271	1930
397	1274	1928
398	1278	1925
399	1281	1922
400	1284	1919
401	1287	1915
402	1290	1912
403	1294	1909
404	1297	1905
405	1300	1902
406	1303	1899
407	1306	1895
408	1310	1893
409	1313	1890
410	1316	1886
411	1319	1883
412	1322	1879
413	1326	1876
414	1329	1873
415	1332	1870
416	1335	1866
417	1337	1862
418	1341	1859
419	1344	1856
420	1347	1853
421	1350	1849
422	1353	1846
423	1356	1842
424	1359	1839
425	1362	1836
426	1365	1832
427	1368	1829
428	1371	1825
429	1375	1822
430	1378	1819
431	1381	1816
432	1384	1812
433	1387	1808
434	1390	1805
435	1393	1802
436	1396	1799
437	1399	1795
438	1402	1791
439	1405	1788
440	1408	1785
441	1411	1782
442	1414	1779
443	1417	1775
444	1420	1772
445	1424	1769
446	1427	1765
447	1430	1762
448	1433	1759
449	1436	1755
450	1439	1752
451	1443	1749
452	1446	1746
453	1449	1742
454	1452	1739
455	1455	1736
456	1458	1733
457	1462	1730
458	1465	1727
459	1468	1724
460	1472	1721
461	1475	1718
462	1478	1714
463	1481	1711
464	1485	1708
465	1489	1706
466	1492	1703
467	1495	1700
468	1499	1697
469	1502	1694
470	1505	1691
471	1508	1687
472	1511	1684
473	1514	1681
474	1517	1677
475	1521	1674
476	1524	1671
477	1527	1668
478	1531	1665
479	1534	1662
480	1538	1659
481	1541	1656
482	1545	1654
483	1549	1651
484	1552	1648
485	1556	1646
486	1559	1642
487	1562	1639
488	1566	1636
489	1569	1633
490	1572	1630
491	1575	1627
492	1579	1624
493	1582	1621
494	1586	1618
495	1589	1615
496	1592	1612
497	1596	1608
498	1599	1605
499	1603	1603
500	1606	1600
501	1610	1597
502	1614	1594
503	1617	1591
504	1620	1588
505	1624	1585
506	1627	1582
507	1630	1578
508	1633	1575
509	1636	1572
510	1639	1569
511	1642	1565
512	1646	1562
513	1648	1559
514	1652	1556
515	1655	1552
516	1658	1549
517	1661	1545
518	1664	1542
519	1667	1539
520	1670	1536
521	1673	1532
522	1676	1529
523	1679	1526
524	1682	1522
525	1685	1519
526	1688	1515
527	1691	1512
528	1695	1509
529	1698	1505
530	1701	1503
531	1705	1500
532	1708	1496
533	1711	1493
534	1714	1490
535	1717	1487
536	1720	1483
537	1723	1480
538	1726	1476
539	1730	1473
540	1733	1470
541	1736	1467
542	1739	1464
543	1742	1460
544	1745	1457
545	1749	1454
546	1752	1451
547	1755	1447
548	1758	1444
549	1761	1441
550	1765	1438
551	1768	1435
552	1772	1432
553	1775	1429
554	1778	1425
555	1781	1422
556	1785	1419
557	1787	1416
558	1791	1413
559	1794	1409
560	1797	1406
561	1800	1403
562	1803	1399
563	1806	1396
564	1809	1393
565	1812	1390
566	1816	1386
567	1819	1383
568	1822	1380
569	1825	1376
570	1828	1373
571	1831	1370
572	1835	1367
573	1838	1364
574	1842	1361
575	1845	1358
576	1849	1355
577	1852	1352
578	1855	1349
579	1858	1345
580	1861	1342
581	1864	1339
582	1867	1335
583	1870	1332
584	1873	1329
585	1876	1326
586	1880	1323
587	1883	1320
588	1886	1316
589	1889	1313
590	1892	1309
591	1895	1306
592	1899	1303
593	1903	1300
594	1906	1297
595	1909	1294
596	1912	1291
597	1915	1287
598	1918	1284
599	1922	1281
600	1925	1278
601	1928	1274
602	1931	1271
603	1934	1268
604	1937	1265
605	1940	1261
606	1944	1258
607	1947	1255
608	1950	1252
609	1953	1249
610	1956	1245
611	1959	1242
612	1963	1239
613	1966	1236
614	1969	1233
615	1973	1229
616	1975	1226
617	1979	1223
618	1982	1220
619	1985	1216
620	1988	1213
621	1991	1210
622	1994	1206
623	1997	1203
624	2000	1200
625	2003	1196
626	2006	1193
627	2009	1190
628	2012	1187
629	2015	1183
630	2018	1180
631	2021	1177
632	2024	1174
633	2028	1170
634	2031	1167
635	2034	1164
636	2037	1161
637	2041	1158
638	2045	1155
639	2048	1152
640	2052	1149
641	2055	1146
642	2059	1143
643	2062	1140
644	2066	1137
645	2069	1133
646	2072	1130
647	2075	1127
648	2078	1124
649	2081	1120
650	2084	1117
651	2087	1114
652	2090	1110
653	2093	1107
654	2096	1104
655	2100	1101
656	2103	1098
657	2106	1094
658	2110	1091
659	2113	1088
660	2117	1085
661	2120	1082
662	2123	1079
663	2127	1076
664	2130	1073
665	2133	1070
666	2137	1066
667	2140	1063
668	2143	1060
669	2146	1057
670	2149	1053
671	2152	1050
672	2155	1047
673	2158	1044
674	2161	1040
675	2164	1037
676	2167	1034
677	2171	1031
678	2174	1027
679	2177	1024
680	2180	1021
681	2183	1018
682	2186	1014
683	2189	1011
684	2193	1008
685	2196	1005
686	2198	1001
687	2201	998
688	2204	995
689	2208	992
690	2211	988
691	2214	985
692	2217	982
693	2220	979
694	2223	975
695	2227	972
696	2230	969
697	2233	966
698	2236	963
699	2239	959
700	2243	956
701	2246	953
702	2249	950
703	2252	947
704	2256	944
705	2259	941
706	2263	938
707	2266	934
708	2269	931
709	2272	928
710	2275	924
711	2278	921
712	2281	918
713	2284	914
714	2287	911
715	2290	908
716	2293	905
717	2296	902
718	2299	898
719	2302	895
720	2306	892
721	2309	889
722	2312	886
723	2315	882
724	2319	879
725	2322	876
726	2325	873
727	2328	870
728	2331	866
729	2334	863
730	2338	860
731	2341	857
732	2344	853
733	2347	850
734	2350	847
735	2353	844
736	2356	840
737	2359	837
738	2362	834
739	2365	831
740	2368	827
741	2372	824
742	2375	821
743	2378	818
744	2381	815
745	2384	811
746	2387	808
747	2390	805
748	2393	802
749	2396	798
750	2399	795
751	2402	792
752	2405	789
753	2408	785
754	2411	782
755	2414	779
756	2417	775
757	2420	772
758	2423	769
759	2426	766
760	2429	762
761	2432	759
762	2436	756
763	2439	753
764	2443	750
765	2446	747
766	2449	744
767	2452	740
768	2456	737
769	2459	734
770	2462	731
771	2465	728
772	2468	724
773	2471	721
774	2474	718
775	2477	715
776	2480	711
777	2483	708
778	2486	705
779	2489	702
780	2492	698
781	2495	695
782	2499	692
783	2502	689
784	2505	686
785	2509	683
786	2512	679
787	2515	676
788	2518	673
789	2521	670
790	2524	667
791	2528	663
792	2531	660
793	2534	657
794	2537	654
795	2540	651
796	2543	647
797	2546	644
798	2549	641
799	2552	638
800	2556	635
801	2559	631
802	2562	628
803	2565	625
804	2568	622
805	2571	618
806	2574	615
807	2577	612
808	2580	609
809	2583	606
810	2587	602
811	2590	599
812	2594	596
813	2597	593
814	2600	590
815	2603	587
816	2607	584
817	2610	580
818	2614	577
819	2617	574
820	2620	571
821	2623	568
822	2626	564
823	2629	561
824	2633	558
825	2636	555
826	2639	552
827	2642	548
828	2645	545
829	2648	542
830	2651	539
831	2654	536
832	2657	532
833	2660	529
834	2663	526
835	2667	523
836	2670	520
837	2673	516
838	2676	513
839	2679	510
840	2682	507
841	2685	503
842	2688	500
843	2692	497
844	2695	494
845	2698	491
846	2701	487
847	2704	484
848	2707	481
849	2710	478
850	2713	475
851	2717	472
852	2720	468
853	2724	465
854	2727	462
855	2731	459
856	2734	456
857	2737	453
858	2740	449
859	2743	446
860	2746	443
861	2749	440
862	2752	437
863	2756	433
864	2759	430
865	2761	427
866	2765	424
867	2768	421
868	2771	417
869	2774	414
870	2777	411
871	2780	408
872	2784	405
873	2787	401
874	2790	398
875	2793	395
876	2796	392
877	2799	389
878	2802	385
879	2805	382
880	2808	379
881	2811	376
882	2814	372
883	2818	369
884	2821	366
885	2824	363
886	2827	360
887	2831	357
888	2834	353
889	2837	350
890	2840	347
891	2843	344
892	2846	341
893	2849	337
894	2852	334
895	2855	331
896	2858	328
897	2862	325
898	2866	322
899	2869	318
900	2872	315
901	2876	312
902	2879	309
903	2883	306
904	2886	302
905	2889	299
906	2892	296
907	2896	293
908	2899	290
909	2902	287
910	2905	283
911	2908	280
912	2911	277
913	2914	274
914	2917	271
915	2920	267
916	2923	264
917	2926	261
918	2929	258
919	2933	255
920	2936	251
921	2939	248
922	2942	245
923	2946	242
924	2949	239
925	2952	235
926	2955	232
927	2958	229
928	2962	226
929	2965	223
930	2967	219
931	2970	216
932	2973	213
933	2976	210
934	2979	207
935	2983	203
936	2986	200
937	2989	197
938	2991	194
939	2995	191
940	2998	187
941	3001	184
942	3004	181
943	3007	178
944	3010	175
945	3013	172
946	3016	168
947	3019	165
948	3022	162
949	3026	159
950	3029	156
951	3032	152
952	3035	149
953	3037	146
954	3040	143
955	3044	140
956	3047	136
957	3050	133
958	3053	130
959	3056	127
960	3059	124
961	3062	120
962	3065	117
963	3069	114
964	3072	111
965	3075	108
966	3079	105
967	3082	101
968	3085	98
969	3088	95
970	3091	92
971	3094	89
972	3097	85
973	3100	82
974	3103	79
975	3107	76
976	3110	73
977	3113	70
978	3116	66
979	3119	63
980	3122	60
981	3125	57
982	3128	54
983	3131	50
984	3134	47
985	3137	44
986	3141	41
987	3144	38
988	3148	35
989	3151	31
990	3154	28
991	3157	25
992	3160	22
993	3163	19
994	3166	15
995	3169	12
996	3172	9
997	3175	6
998	3178	3
999	3182	0
