iter	RMSE
0	64.10148857
1	61.64349844
2	59.42467291
3	57.27453258
4	55.29629576
5	53.43323489
6	51.61206557
7	50.00944801
8	48.45457318
9	47.03057996
10	45.83253331
11	44.52768539
12	43.48068491
13	42.3125611
14	41.3606812
15	40.53380093
16	39.61569886
17	38.81754215
18	37.9813997
19	37.29712226
20	36.58422354
21	35.88929809
22	35.20781723
23	34.63639435
24	34.07032559
25	33.64358339
26	33.10357516
27	32.65966194
28	32.28396448
29	31.98116839
30	31.67570852
31	31.39756268
32	31.18419664
33	30.87598909
34	30.56573525
35	30.23257092
36	29.92760171
37	29.71658031
38	29.50640277
39	29.20624802
40	29.08615711
41	28.89649646
42	28.64719148
43	28.4122367
44	28.27998791
45	27.98716995
46	27.81362997
47	27.56584123
48	27.36636341
49	27.24962307
50	27.06457576
51	26.94547102
52	26.7729663
53	26.65018273
54	26.44885169
55	26.31069601
56	26.19784521
57	25.9703241
58	25.82648217
59	25.70349912
60	25.57150332
61	25.43553314
62	25.30728026
63	25.19501277
64	25.07107667
65	24.98166973
66	24.80857456
67	24.68009851
68	24.47687865
69	24.27125727
70	24.19737
71	24.01555921
72	23.9156351
73	23.79888676
74	23.68843258
75	23.59076596
76	23.43200429
77	23.31510426
78	23.2486757
79	23.06710705
80	22.98503312
81	22.91682908
82	22.83789959
83	22.66181397
84	22.62110262
85	22.45486668
86	22.34035812
87	22.1979699
88	22.04557275
89	21.91046142
90	21.79778355
91	21.69193839
92	21.64048327
93	21.58086132
94	21.42877769
95	21.37977479
96	21.22335127
97	21.14288315
98	21.07152355
99	20.99438664
100	20.93351572
101	20.80246108
102	20.73900128
103	20.60594115
104	20.5638056
105	20.51912349
106	20.46374919
107	20.32878681
108	20.1942724
109	20.06011692
110	19.94395083
111	19.80939663
112	19.75111354
113	19.68426812
114	19.55827279
115	19.54203747
116	19.49324801
117	19.37139569
118	19.33707077
119	19.21588317
120	19.18431634
121	19.0628659
122	18.96811531
123	18.87932836
124	18.86016829
125	18.76390427
126	18.68632571
127	18.59007571
128	18.49034953
129	18.40400511
130	18.31324259
131	18.20030869
132	18.18449501
133	18.09799245
134	18.03687212
135	17.9465868
136	17.85680277
137	17.82164804
138	17.72908476
139	17.64681676
140	17.57100803
141	17.54541225
142	17.48423741
143	17.43806001
144	17.37936227
145	17.26390104
146	17.16968914
147	17.13941638
148	17.021451
149	16.91723033
150	16.86999849
151	16.79147149
152	16.73559914
153	16.68285624
154	16.63074445
155	16.53333195
156	16.44961498
157	16.4011872
158	16.37381534
159	16.2963122
160	16.25377262
161	16.18090403
162	16.04319507
163	15.93326486
164	15.8244849
165	15.74414048
166	15.68336142
167	15.60214513
168	15.50848073
169	15.40475457
170	15.37278138
171	15.32679857
172	15.28828156
173	15.1867059
174	15.12572712
175	15.05483971
176	15.00262647
177	14.96162582
178	14.86730178
179	14.82893451
180	14.7689975
181	14.73044743
182	14.69269342
183	14.6401497
184	14.60412589
185	14.52918868
186	14.46224721
187	14.41507022
188	14.32846185
189	14.28125937
190	14.19980324
191	14.12065404
192	14.07478933
193	14.0388226
194	14.01538766
195	13.94002034
196	13.90764861
197	13.87318974
198	13.8581402
199	13.78493571
200	13.71568524
201	13.67719307
202	13.61950124
203	13.59104504
204	13.56516135
205	13.49266257
206	13.44099877
207	13.4062009
208	13.35336555
209	13.2867237
210	13.20711755
211	13.18652185
212	13.108288
213	13.076344
214	13.04989801
215	13.03673093
216	13.01196604
217	12.94829089
218	12.87915216
219	12.85618788
220	12.80198133
221	12.72676911
222	12.66000254
223	12.60956884
224	12.57615621
225	12.55252124
226	12.52483466
227	12.48326508
228	12.4511885
229	12.39017972
230	12.33001838
231	12.27628287
232	12.24818228
233	12.19561676
234	12.15564399
235	12.10988317
236	12.07938473
237	12.04225085
238	12.00534957
239	11.96369738
240	11.92416331
241	11.88785105
242	11.86605337
243	11.84331752
244	11.76346304
245	11.74341841
246	11.73070621
247	11.71763688
248	11.68328279
249	11.66994419
250	11.64150158
251	11.60542654
252	11.58565885
253	11.55742526
254	11.51837352
255	11.49930423
256	11.47657044
257	11.45481007
258	11.41584344
259	11.387691
260	11.32701557
261	11.29768224
262	11.2675545
263	11.23456938
264	11.19276283
265	11.1594935
266	11.11342207
267	11.07774225
268	11.06893116
269	11.03871968
270	11.02753787
271	11.00934207
272	10.97726202
273	10.95836253
274	10.93084054
275	10.90441288
276	10.86655555
277	10.82128027
278	10.77398794
279	10.76122524
280	10.7424295
281	10.71906421
282	10.69379882
283	10.65904961
284	10.63742987
285	10.6111129
286	10.57815155
287	10.52901989
288	10.5096408
289	10.47248119
290	10.44468966
291	10.40347892
292	10.38756994
293	10.37130488
294	10.33319524
295	10.29377186
296	10.28507134
297	10.26317594
298	10.23092823
299	10.20519315
300	10.18438381
301	10.16040771
302	10.13389901
303	10.07430434
304	10.06667486
305	10.05262602
306	10.03723773
307	10.00721273
308	9.99823763
309	9.958400734
310	9.945101618
311	9.936673015
312	9.918515082
313	9.885647945
314	9.864782898
315	9.851226061
316	9.815509953
317	9.777963892
318	9.768854858
319	9.729640394
320	9.694107374
321	9.683717975
322	9.661249506
323	9.625452822
324	9.606558843
325	9.59833371
326	9.565129901
327	9.531912445
328	9.494462394
329	9.469479096
330	9.456696312
331	9.44101271
332	9.433124263
333	9.401767783
334	9.383128145
335	9.368036388
336	9.335000859
337	9.298748022
338	9.286304637
339	9.272778979
340	9.265430738
341	9.249609232
342	9.228691459
343	9.196299234
344	9.185234346
345	9.14977168
346	9.144268087
347	9.121522118
348	9.097703797
349	9.077027855
350	9.066475707
351	9.043084897
352	9.024335318
353	9.013441337
354	9.003793981
355	8.988541378
356	8.956893019
357	8.936564066
358	8.915532529
359	8.891879621
360	8.870078572
361	8.847304998
362	8.833068149
363	8.813168121
364	8.800423427
365	8.768635735
366	8.75602114
367	8.745802967
368	8.730683103
369	8.713553592
370	8.690903395
371	8.68048161
372	8.664303085
373	8.650957546
374	8.613963703
375	8.598911797
376	8.592892494
377	8.584546152
378	8.574642433
379	8.548588192
380	8.53278713
381	8.504026569
382	8.476865357
383	8.459434452
384	8.451164038
385	8.426690476
386	8.420556477
387	8.397494488
388	8.383102039
389	8.373507696
390	8.360575093
391	8.338253831
392	8.322921997
393	8.309860472
394	8.295171869
395	8.274404497
396	8.261380434
397	8.2392368
398	8.230890921
399	8.224136466
400	8.204496192
401	8.196397776
402	8.17745892
403	8.149019263
404	8.136778962
405	8.127505254
406	8.112950144
407	8.086920922
408	8.073549131
409	8.056487372
410	8.029648421
411	8.011159404
412	8.00490914
413	7.989025318
414	7.971381668
415	7.955034156
416	7.931748418
417	7.923962179
418	7.912428119
419	7.890181124
420	7.8746905
421	7.862286717
422	7.833507612
423	7.825653487
424	7.801638412
425	7.783920587
426	7.766773819
427	7.752505163
428	7.741486027
429	7.736428181
430	7.72578013
431	7.712694986
432	7.699076189
433	7.689231505
434	7.675005507
435	7.661552359
436	7.656944871
437	7.640828263
438	7.628118816
439	7.617906238
440	7.602314715
441	7.59811862
442	7.581973604
443	7.577501667
444	7.560591176
445	7.54727383
446	7.532192104
447	7.516868925
448	7.503320408
449	7.493607661
450	7.469454362
451	7.46108993
452	7.451670358
453	7.443359821
454	7.430705066
455	7.422618109
456	7.404520982
457	7.388608171
458	7.377063626
459	7.369576991
460	7.35596132
461	7.348449148
462	7.343486712
463	7.335386561
464	7.32032525
465	7.309864539
466	7.288787877
467	7.272202449
468	7.247068738
469	7.231486673
470	7.221825649
471	7.209873674
472	7.203821979
473	7.181673937
474	7.171899057
475	7.159341768
476	7.134173309
477	7.124455591
478	7.108532943
479	7.095476264
480	7.078534901
481	7.070479896
482	7.062253097
483	7.04738973
484	7.036007513
485	7.023821646
486	7.019676484
487	7.008232807
488	7.001731498
489	6.991698091
490	6.985520231
491	6.979846439
492	6.970993701
493	6.957291506
494	6.947633559
495	6.934373395
496	6.930336583
497	6.923824731
498	6.916266131
499	6.89996624
500	6.890731974
501	6.878605926
502	6.860847501
503	6.853948358
504	6.849872622
505	6.843819627
506	6.835102741
507	6.828853086
508	6.814723066
509	6.804718674
510	6.795652135
511	6.78291692
512	6.77627446
513	6.76292618
514	6.751855054
515	6.737940236
516	6.724878062
517	6.717249019
518	6.704191263
519	6.695199918
520	6.691741408
521	6.680280433
522	6.671881406
523	6.654493345
524	6.639117888
525	6.630448988
526	6.62230965
527	6.608478534
528	6.600958513
529	6.581938722
530	6.574922859
531	6.569544275
532	6.561849551
533	6.553759587
534	6.541878899
535	6.532114658
536	6.523351862
537	6.516490651
538	6.512736761
539	6.502353784
540	6.492662967
541	6.487126759
542	6.475052737
543	6.466974351
544	6.456687968
545	6.4485899
546	6.442493102
547	6.428321717
548	6.419624412
549	6.414198953
550	6.403468992
551	6.398689636
552	6.389797515
553	6.38369026
554	6.377854697
555	6.371505163
556	6.363947965
557	6.357390492
558	6.34984174
559	6.346378663
560	6.338065396
561	6.333212981
562	6.322881761
563	6.311111132
564	6.297748474
565	6.287836242
566	6.284049257
567	6.269823363
568	6.263572339
569	6.258863883
570	6.252923986
571	6.246732114
572	6.24360864
573	6.23167734
574	6.221951931
575	6.218647227
576	6.214632637
577	6.211451444
578	6.199454564
579	6.189096164
580	6.183637508
581	6.175273644
582	6.167062192
583	6.158239887
584	6.152566379
585	6.142803241
586	6.136343676
587	6.129180449
588	6.126193165
589	6.119193132
590	6.115956836
591	6.110921239
592	6.10592734
593	6.101868553
594	6.094907147
595	6.089955164
596	6.080333617
597	6.075101254
598	6.066027719
599	6.060007882
600	6.054846863
601	6.050772492
602	6.043970245
603	6.038524291
604	6.032546165
605	6.023528442
606	6.01289633
607	6.007327868
608	6.003014865
609	5.998963993
610	5.990312232
611	5.984315491
612	5.980057707
613	5.973983809
614	5.970460402
615	5.965635672
616	5.962700635
617	5.955904344
618	5.946534986
619	5.939893448
620	5.931680618
621	5.924497504
622	5.917002483
623	5.909079038
624	5.90407121
625	5.900281329
626	5.893015984
627	5.88933501
628	5.883750836
629	5.877618179
630	5.871814175
631	5.868035217
632	5.860970919
633	5.858327746
634	5.855504034
635	5.850484972
636	5.842913148
637	5.839998763
638	5.836573222
639	5.833344612
640	5.830472007
641	5.824681713
642	5.821117234
643	5.812392214
644	5.800116151
645	5.7934983
646	5.788096301
647	5.778595314
648	5.770093857
649	5.766971662
650	5.762809251
651	5.752717934
652	5.746824548
653	5.741454411
654	5.738083256
655	5.733441918
656	5.731103998
657	5.728344901
658	5.72046655
659	5.713599997
660	5.708788051
661	5.70080278
662	5.69671389
663	5.690591848
664	5.686107487
665	5.683497447
666	5.672730471
667	5.664567332
668	5.658140689
669	5.652662194
670	5.647914243
671	5.643861582
672	5.638032244
673	5.633379477
674	5.629598282
675	5.618531334
676	5.606573253
677	5.597218844
678	5.590663233
679	5.5818639
680	5.576576704
681	5.570632419
682	5.566443166
683	5.559536948
684	5.556318887
685	5.543671969
686	5.536637315
687	5.527640554
688	5.52502758
689	5.520542256
690	5.517343215
691	5.513655651
692	5.507616482
693	5.502690086
694	5.499262575
695	5.49310977
696	5.489050087
697	5.482634981
698	5.479243079
699	5.475335083
700	5.469783505
701	5.464114136
702	5.461240578
703	5.456423459
704	5.453385876
705	5.446611044
706	5.439146712
707	5.432762612
708	5.430494968
709	5.428052071
710	5.42164037
711	5.414379661
712	5.409997542
713	5.406455731
714	5.400892293
715	5.394764429
716	5.389660636
717	5.384931502
718	5.382088416
719	5.376420821
720	5.37401045
721	5.368773469
722	5.364469894
723	5.359878667
724	5.358006959
725	5.35595772
726	5.353990402
727	5.348126151
728	5.344544647
729	5.334775813
730	5.330442437
731	5.326593035
732	5.323290819
733	5.319143671
734	5.314457848
735	5.306368824
736	5.302902665
737	5.29448537
738	5.291359585
739	5.287990697
740	5.281848619
741	5.280173628
742	5.266866199
743	5.259387737
744	5.254506436
745	5.244767452
746	5.242894366
747	5.240113996
748	5.234985239
749	5.23146661
750	5.224912099
751	5.221654311
752	5.217131684
753	5.213786487
754	5.20852809
755	5.205803942
756	5.201914031
757	5.196342834
758	5.192709701
759	5.187494299
760	5.184536539
761	5.181177192
762	5.177661568
763	5.171331501
764	5.168073942
765	5.16317311
766	5.158886073
767	5.15451955
768	5.151493182
769	5.147427146
770	5.142306153
771	5.139152004
772	5.133185788
773	5.129898281
774	5.126359205
775	5.124331133
776	5.119053802
777	5.11537708
778	5.111452029
779	5.109480596
780	5.107102186
781	5.103632374
782	5.102078062
783	5.098697169
784	5.096074029
785	5.092542826
786	5.084379011
787	5.080009004
788	5.075213375
789	5.068018404
790	5.064125169
791	5.060840562
792	5.05704506
793	5.053666222
794	5.051248068
795	5.045878899
796	5.043899557
797	5.032148719
798	5.025404013
799	5.022276175
800	5.019034689
801	5.01215305
802	5.008898543
803	5.002873671
804	4.995459063
805	4.990514043
806	4.986873688
807	4.978797376
808	4.974133232
809	4.971802087
810	4.968899207
811	4.966249736
812	4.961079866
813	4.956747525
814	4.953625689
815	4.946743731
816	4.939877216
817	4.937942099
818	4.934875169
819	4.929542653
820	4.923651196
821	4.922126165
822	4.917642645
823	4.911823044
824	4.907345281
825	4.903701079
826	4.900049535
827	4.898252127
828	4.894959179
829	4.892017688
830	4.887409827
831	4.881183531
832	4.876349095
833	4.870620026
834	4.867997677
835	4.864055754
836	4.861474407
837	4.858965203
838	4.856067892
839	4.854472796
840	4.846998233
841	4.8398075
842	4.834771522
843	4.832177856
844	4.828426183
845	4.826030754
846	4.823625062
847	4.818542875
848	4.811631105
849	4.808403432
850	4.805661028
851	4.803257678
852	4.800216757
853	4.795941091
854	4.792944779
855	4.789212001
856	4.78683651
857	4.784292869
858	4.781357829
859	4.775035269
860	4.769526137
861	4.767145046
862	4.763066314
863	4.758720908
864	4.754223145
865	4.751192211
866	4.748329478
867	4.745473119
868	4.741008582
869	4.735209768
870	4.733353906
871	4.730949726
872	4.727464376
873	4.722580279
874	4.72002192
875	4.7161178
876	4.711934596
877	4.707929451
878	4.706211998
879	4.70350513
880	4.700167364
881	4.696584556
882	4.694110221
883	4.69069052
884	4.687417672
885	4.683118076
886	4.679342558
887	4.676700888
888	4.671503017
889	4.667695145
890	4.661277005
891	4.659359366
892	4.656856948
893	4.652901999
894	4.649775122
895	4.646227706
896	4.643866329
897	4.641634894
898	4.63601986
899	4.630593582
900	4.628310591
901	4.62318458
902	4.617332774
903	4.61430251
904	4.60682181
905	4.604994061
906	4.601609396
907	4.596843736
908	4.594272558
909	4.592798895
910	4.590879281
911	4.584530268
912	4.582148769
913	4.576511227
914	4.574574137
915	4.572748832
916	4.569681129
917	4.565279658
918	4.563580142
919	4.56128572
920	4.558243748
921	4.551631889
922	4.547014761
923	4.54502381
924	4.541019542
925	4.540026561
926	4.537774706
927	4.53560246
928	4.530779129
929	4.529944285
930	4.528294603
931	4.524438323
932	4.522602524
933	4.51596579
934	4.510934776
935	4.507129979
936	4.502943112
937	4.498558081
938	4.496284882
939	4.495529175
940	4.493030985
941	4.489304975
942	4.486654198
943	4.484293266
944	4.481077926
945	4.478170323
946	4.47647628
947	4.472376439
948	4.470778173
949	4.465236165
950	4.46302535
951	4.459065743
952	4.457966832
953	4.453926477
954	4.449958511
955	4.445350479
956	4.443413554
957	4.438748517
958	4.43477668
959	4.429356053
960	4.427388713
961	4.423168451
962	4.417157877
963	4.415235189
964	4.409970215
965	4.407164344
966	4.404690346
967	4.401969577
968	4.398701071
969	4.395837127
970	4.393831543
971	4.390453427
972	4.384997864
973	4.379779017
974	4.377765356
975	4.376217299
976	4.371979326
977	4.370526672
978	4.367315971
979	4.365306871
980	4.361298117
981	4.359285861
982	4.356298607
983	4.354622987
984	4.352151105
985	4.34957897
986	4.346347629
987	4.343596093
988	4.33914021
989	4.336269323
990	4.333770031
991	4.331306007
992	4.329490661
993	4.327044043
994	4.324653927
995	4.322076064
996	4.319157216
997	4.317175002
998	4.314846353
999	4.31181891
